Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,_version:1,_order:1000
c5ba0973-74ec-4849-b4dd-fabce876dc76,,,Harare,,,Harare,,,,,,Misc,N/A,,
3e0f6a70-7436-435c-9eeb-5027939596f5,,,Bulawayo,,,Bulawayo,,,,,,Misc,N/A,,
957acf4f-53ab-4f44-9177-3c5fe6dca984,,,Manicaland,,,Manicaland,,,,,,Misc,N/A,,
17049dfd-2869-4b0c-8856-b9652ffb1bdb,,,Mashonaland Central,,,Mashonaland Central,,,,,,Misc,N/A,,
b7af5d7a-999b-44f6-9fe8-28a640cd2e9a,,,Mashonaland East,,,Mashonaland East,,,,,,Misc,N/A,,
95e22563-73df-497b-bdbb-878c26237915,,,Mashonaland West,,,Mashonaland West,,,,,,Misc,N/A,,
3f822ad4-399d-432c-a30a-2120d3adcfd2,,,Masvingo,,,Masvingo,,,,,,Misc,N/A,,
3aa7f43e-af72-4c32-a0a7-bc1ebe9d3ffb,,,Matabeleland North,,,Matabeleland North,,,,,,Misc,N/A,,
03137b93-ad98-4791-b9b5-ba3b9e063c56,,,Matabeleland South,,,Matabeleland South,,,,,,Misc,N/A,,
3753ad7c-2834-4f3a-af55-91c5b720e110,,,Midlands,,,Midlands,,,,,,Misc,N/A,,
